Time [s],Trigger,X-Axis_PP-3 [psi],X-Axis_PP-4 [psi],Y-Axis_PP-1 [psi],Y-Axis_PP-2 [psi]
-0.0006155,0.0582886,0.0305176,-0.0228882,0.0289917,-0.0183105
-0.000615,0.0585938,0.0289917,0.0106812,0.0305176,0.00457764
-0.0006145,0.0582886,-0.012207,-0.00915527,0.0259399,0.00610352
-0.000614,0.0585938,0.00152588,-0.0350952,0.0183105,-0.0106812
-0.0006135,0.0598145,0.00915527,0.0198364,0.0244141,0.0411987
-0.000613,0.0595093,0.00152588,-0.00610352,0.0106812,-0.0259399
-0.0006125,0.0598145,0.00915527,0.00457764,0.0350952,0.00152588
-0.000612,0.0582886,0.0228882,0.00762939,0.0167847,-0.012207
-0.0006115,0.0616455,0.0366211,-0.00915527,0.00610352,0.0213623
-0.000611,0.0576782,0.0106812,-0.0213623,0.0152588,0.00762939
-0.0006105,0.057373,0.0289917,-0.00762939,0.00762939,0.00762939
-0.00061,0.0610352,-0.0198364,-0.0183105,0.00610352,-0.00152588
-0.0006095,0.0582886,0.0259399,-0.0213623,0.0228882,-0.00762939
-0.000609,0.0570679,-0.012207,-0.0167847,0.0228882,0.00152588
-0.0006085,0.057373,0.00152588,-0.0259399,0.0244141,-0.0137329
-0.000608,0.0595093,0.0106812,-0.00610352,0.0106812,0.00762939
-0.0006075,0.0576782,0.0366211,0.00915527,0.0350952,0.0259399
-0.000607,0.0585938,0.0274658,-0.0228882,0.0366211,-0.00915527
-0.0006065,0.0585938,-0.0274658,-0.0457764,0.0274658,-0.00610352
-0.000606,0.0610352,0.00762939,-0.00762939,0.0320435,0.00305176
-0.0006055,0.0585938,0,-0.0167847,0.0167847,0.0198364
-0.000605,0.06073,0.00152588,0.00915527,0.0167847,0.00305176
-0.0006045,0.0585938,0.0228882,0,0.0289917,0.00762939
-0.000604,0.0579834,0.0350952,-0.0198364,0.050354,0.00915527
-0.0006035,0.06073,0.0152588,-0.00762939,0.0259399,0.00457764
-0.000603,0.0595093,0.0137329,0.00762939,0.0289917,0
-0.0006025,0.0595093,-0.00305176,-0.0137329,0.0305176,0.0183105
-0.000602,0.0598145,0.00610352,-0.0335693,0.0228882,-0.0137329
-0.0006015,0.0582886,-0.00915527,-0.0259399,0.0518799,0.00152588
-0.000601,0.0598145,-0.00762939,0.00152588,0.0442505,0.00762939
-0.0006005,0.06073,0.0167847,-0.0350952,0.0518799,0.00610352
-0.0006,0.06073,-0.00305176,-0.0274658,0.0335693,0
-0.0005995,0.0585938,0,-0.0167847,0.0320435,-0.00457764
-0.000599,0.0585938,-0.0289917,-0.00762939,0.0335693,0.00610352
-0.0005985,0.0570679,-0.00152588,-0.0534058,0.0305176,0.00610352
-0.000598,0.0595093,-0.0289917,-0.0213623,0.0213623,0.0106812
-0.0005975,0.0598145,0.0137329,0.00915527,0.0244141,0.0152588
-0.000597,0.0616455,0.0335693,-0.0137329,0.0106812,-0.0137329
-0.0005965,0.0592041,0.0350952,-0.0198364,0.0457764,-0.00457764
-0.000596,0.0595093,0.00762939,-0.00915527,0.0564575,-0.0152588
-0.0005955,0.0598145,0.00457764,-0.0198364,0.0335693,0.012207
-0.000595,0.0613403,0.0213623,-0.0167847,0.0228882,0.0183105
-0.0005945,0.0585938,-0.00915527,-0.0198364,0.0396729,-0.00305176
-0.000594,0.0610352,-0.00305176,0.00610352,0.038147,-0.0167847
-0.0005935,0.0598145,0.0259399,0.0137329,0.0442505,0
-0.000593,0.0610352,0.0335693,-0.0244141,0.0289917,-0.00762939
-0.0005925,0.0604248,0.0137329,-0.0183105,0.0442505,-0.0137329
-0.000592,0.057373,-0.0228882,-0.0228882,0.0350952,-0.00305176
-0.0005915,0.0604248,0.00762939,-0.012207,0.0366211,0.00152588
-0.000591,0.0570679,0.00915527,-0.0289917,0.0457764,0.00915527
-0.0005905,0.0582886,0.0106812,-0.0259399,0.00152588,-0.00152588
-0.00059,0.0616455,0.0289917,-0.00610352,0.0289917,0.00915527
-0.0005895,0.0631714,0.0320435,-0.00152588,0.050354,0.0320435
-0.000589,0.0610352,0.0213623,-0.0167847,0.0167847,0.00915527
-0.0005885,0.0570679,0,-0.0183105,0.0244141,0.0167847
-0.000588,0.0598145,0.00152588,-0.0183105,0.0167847,0.0152588
-0.0005875,0.0604248,0.0244141,-0.00610352,0.00305176,-0.0106812
-0.000587,0.06073,-0.00915527,-0.0198364,0.0244141,0.0259399
-0.0005865,0.0570679,-0.00152588,-0.0228882,0.0137329,0.0259399
-0.000586,0.0598145,-0.0106812,-0.00762939,0.0488281,0.00762939
-0.0005855,0.0604248,0.0289917,-0.00152588,0.0244141,0.00305176
-0.000585,0.06073,0.0137329,-0.0366211,0.00305176,0.0320435
-0.0005845,0.0598145,-0.00762939,-0.0320435,0.0305176,0.0152588
-0.000584,0.057373,-0.00762939,-0.0289917,0.00915527,0.00915527
-0.0005835,0.0619507,0.012207,-0.00152588,0.038147,0.0152588
-0.000583,0.0598145,0.0106812,0.0137329,0.0259399,0.0167847
-0.0005825,0.0585938,0.0274658,-0.00305176,0.0198364,0.00457764
-0.000582,0.0634766,0.00915527,0.00457764,0.0305176,0.0183105
-0.0005815,0.06073,0.00915527,-0.00152588,0.0305176,0.0137329
-0.000581,0.0582886,-0.00610352,0.00915527,0.0228882,0.012207
-0.0005805,0.0610352,0.00762939,-0.0183105,0.0473022,0.00305176
-0.00058,0.0585938,-0.0137329,-0.0183105,0.012207,0.0183105
-0.0005795,0.0579834,-0.00457764,0.00762939,0.0152588,0.00762939
-0.000579,0.0610352,0.00915527,-0.0244141,0.00457764,0.0137329
-0.0005785,0.0592041,0.0274658,-0.0137329,0.0106812,-0.00915527
-0.000578,0.0595093,0.0228882,0.0167847,0.0137329,0.00762939
-0.0005775,0.0585938,0.0137329,0.0167847,0.0183105,0.0244141
